epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.2338,1.00215,1.1612,1.08283,0.8306,0.71429,0.79267,0.40658,1.55026,2.04534,1.71244,0.0011882,0.0011882,0.0011882
43,73.8649,1.02398,1.44105,1.18911,0.8306,0.71429,0.79267,0.40658,1.55026,2.04534,1.71244,0.0011684,0.0011684,0.0011684
44,74.5022,0.98834,1.16059,1.17897,0.85658,0.85377,0.82278,0.39619,1.60617,2.17212,1.77238,0.0011486,0.0011486,0.0011486
45,75.121,0.78124,1.13187,1.08242,0.85658,0.85377,0.82278,0.39619,1.60617,2.17212,1.77238,0.0011288,0.0011288,0.0011288
46,75.7761,0.80398,1.31822,1.14896,0.85658,0.85377,0.82278,0.39619,1.60617,2.17212,1.77238,0.001109,0.001109,0.001109
47,76.4516,0.87615,1.18429,1.15063,0.97777,0.85714,0.8913,0.44142,1.76379,1.98152,1.88875,0.0010892,0.0010892,0.0010892
48,77.0533,0.85812,1.07734,1.17853,0.97777,0.85714,0.8913,0.44142,1.76379,1.98152,1.88875,0.0010694,0.0010694,0.0010694
49,77.7247,0.93679,1.15122,1.15269,0.9789,0.85714,0.93038,0.47275,1.7917,1.78491,1.93161,0.0010496,0.0010496,0.0010496
50,78.3672,0.79327,1.46193,1.17196,0.9789,0.85714,0.93038,0.47275,1.7917,1.78491,1.93161,0.0010298,0.0010298,0.0010298
51,79.0171,1.01115,0.99965,1.17869,0.9789,0.85714,0.93038,0.47275,1.7917,1.78491,1.93161,0.00101,0.00101,0.00101
52,79.686,1.06308,1.06336,1.23372,0.87366,0.98928,0.9775,0.5465,1.63917,1.68809,1.7763,0.0009902,0.0009902,0.0009902
53,80.3278,0.80543,1.09953,1.10134,0.87366,0.98928,0.9775,0.5465,1.63917,1.68809,1.7763,0.0009704,0.0009704,0.0009704
54,81.0723,0.81057,1.14841,1.10064,0.87366,0.98928,0.9775,0.5465,1.63917,1.68809,1.7763,0.0009506,0.0009506,0.0009506
55,81.7204,0.85551,1.10641,1.17502,1,0.98074,0.995,0.62466,1.4528,1.44749,1.69179,0.0009308,0.0009308,0.0009308
56,82.3343,0.95956,1.11191,1.19669,1,0.98074,0.995,0.62466,1.4528,1.44749,1.69179,0.000911,0.000911,0.000911
57,83.0133,0.89304,1.0188,1.08775,1,0.9939,0.995,0.58989,1.47295,1.51694,1.73239,0.0008912,0.0008912,0.0008912
58,83.6303,0.85196,0.99394,1.15187,1,0.9939,0.995,0.58989,1.47295,1.51694,1.73239,0.0008714,0.0008714,0.0008714
59,84.2743,0.87168,0.96854,1.11837,1,0.9939,0.995,0.58989,1.47295,1.51694,1.73239,0.0008516,0.0008516,0.0008516
60,84.9051,0.82464,1.04047,1.10343,1,0.8559,0.96389,0.56651,1.54531,1.47943,1.79079,0.0008318,0.0008318,0.0008318
61,85.5115,0.86832,1.01061,1.11699,1,0.8559,0.96389,0.56651,1.54531,1.47943,1.79079,0.000812,0.000812,0.000812
62,86.2201,0.79175,0.98919,1.13512,1,0.8559,0.96389,0.56651,1.54531,1.47943,1.79079,0.0007922,0.0007922,0.0007922
63,86.8724,0.81408,0.94265,1.09527,0.75697,1,0.94389,0.5508,1.58415,1.35557,1.74799,0.0007724,0.0007724,0.0007724
64,87.5085,0.85429,1.00729,1.10304,0.75697,1,0.94389,0.5508,1.58415,1.35557,1.74799,0.0007526,0.0007526,0.0007526
65,88.1724,0.79628,0.99142,1.07856,0.76669,1,0.90246,0.54986,1.37341,1.21169,1.60226,0.0007328,0.0007328,0.0007328
66,88.8174,0.85704,0.96566,1.20668,0.76669,1,0.90246,0.54986,1.37341,1.21169,1.60226,0.000713,0.000713,0.000713
67,89.5024,0.87886,0.9436,1.07293,0.76669,1,0.90246,0.54986,1.37341,1.21169,1.60226,0.0006932,0.0006932,0.0006932
68,90.2105,0.7725,1.05198,1.09397,0.84992,1,0.96,0.56788,1.42949,1.16719,1.6533,0.0006734,0.0006734,0.0006734
69,90.8741,0.86179,1.02934,1.06458,0.84992,1,0.96,0.56788,1.42949,1.16719,1.6533,0.0006536,0.0006536,0.0006536
70,91.6105,0.74168,0.90408,1.11003,0.84992,1,0.96,0.56788,1.42949,1.16719,1.6533,0.0006338,0.0006338,0.0006338
71,92.2585,0.8657,0.8921,1.12172,0.97647,1,0.995,0.59251,1.43781,1.08133,1.64412,0.000614,0.000614,0.000614
72,92.9481,0.9191,1.11324,1.12216,0.97647,1,0.995,0.59251,1.43781,1.08133,1.64412,0.0005942,0.0005942,0.0005942
73,93.6297,0.75808,1.10429,1.12136,0.98983,1,0.995,0.60849,1.42293,1.08964,1.57912,0.0005744,0.0005744,0.0005744
74,94.2472,0.79854,0.79279,1.06937,0.98983,1,0.995,0.60849,1.42293,1.08964,1.57912,0.0005546,0.0005546,0.0005546
75,94.8925,0.82524,0.84903,1.07504,0.98983,1,0.995,0.60849,1.42293,1.08964,1.57912,0.0005348,0.0005348,0.0005348
